"scenario_id","scenario_name","prompt","question","total_correct_answers","total_candidates","total_candidate_correct_answers","average_score"
"02262cbf-4789-4cea-9fa0-2da76ca4eb4e","04c - Pediatrics - Intussusception","An 8-month-old male child is brought in by his parents with irritability, several episodes of non-bilious emesis and bloody stool that started that morning. His mother reports that the gestation and delivery were uneventful, and he was developing normally up until this point. The baby is uncomfortable. His vital signs are normal except for some tachycardia. His mucus membranes appear dry. His abdomen is tender to palpation. It is scaphoid but with fullness in the right upper quadrant.","How would you proceed?","5","72","236","0.65555555555555555556"
"02262cbf-4789-4cea-9fa0-2da76ca4eb4e","04c - Pediatrics - Intussusception","Let’s say you are unable to perform the reduction in the OR","What is the next best step?","1","63","63","1.00000000000000000000"
"02262cbf-4789-4cea-9fa0-2da76ca4eb4e","04c - Pediatrics - Intussusception","Over the next few hours, you are called back to bedside as the baby has become more irritable, distended, and tachycardic. ","What is the next step?","2","58","96","0.82758620689655172414"
"02262cbf-4789-4cea-9fa0-2da76ca4eb4e","04c - Pediatrics - Intussusception","The radiologist performs the reduction successfully and the baby is comfortable","What will you do next?","1","61","61","1.00000000000000000000"
"02262cbf-4789-4cea-9fa0-2da76ca4eb4e","04c - Pediatrics - Intussusception","They still cannot fully reduce the intussusception after 3 attempts. The patient has no peritoneal signs. ","What is the next best step?","1","58","58","1.00000000000000000000"
"02262cbf-4789-4cea-9fa0-2da76ca4eb4e","04c - Pediatrics - Intussusception","This time they are only able to partially reduce the intussusception with the enema. The child has not changed, still uncomfortable but hemodynamics normal for his age. ","What would you like to do?","2","58","74","0.63793103448275862069"
"02262cbf-4789-4cea-9fa0-2da76ca4eb4e","04c - Pediatrics - Intussusception","You consent the parents for operative reduction, and they agree.","How would you perform the operation?","4","67","201","0.75000000000000000000"
"02262cbf-4789-4cea-9fa0-2da76ca4eb4e","04c - Pediatrics - Intussusception","You start IVF resuscitation which improves his tachycardia. His labs are normal. Ultrasound shows a ‘donut sign’ or ‘target sign’ in the right abdomen. ","What is the diagnosis and what is the next step?","3","69","133","0.64251207729468599034"
"0229d3ac-4d06-4b6c-8ddc-d76220671eaf","13b - GI - FAP with Desmoid","Colonoscopy shows at least 100 polyps in the colon and 2 in the proximal rectum. Twenty are removed, including all the proximal rectal polyps, and all return tubular adenomas without dysplasia. Patient is in your office to discuss the results. ","How would you counsel the patient?","3","1","2","0.66666666666666666667"
"0229d3ac-4d06-4b6c-8ddc-d76220671eaf","13b - GI - FAP with Desmoid","Colonoscopy shows at least 100 polyps in the colon and 2 in the proximal rectum. Twenty are removed, including all the proximal rectal polyps, and all return tubular adenomas without dysplasia. The patient is now in your office to discuss the results. ","How would you counsel the patient?","3","1","3","1.00000000000000000000"
"0229d3ac-4d06-4b6c-8ddc-d76220671eaf","13b - GI - FAP with Desmoid","Four years later she presents to the ER with a bowel obstruction. On exam there is a firm mass in the epigastrium. A CT scan shows a hyperdense mesenteric mass that is causing an acute kink in the proximal jejunum. The mass appears to abut and possible encase the superior mesenteric artery. ","What is your presumed diagnosis and how would you treat the patient?","4","2","4","0.50000000000000000000"
"0229d3ac-4d06-4b6c-8ddc-d76220671eaf","13b - GI - FAP with Desmoid","She agrees to surgery and undergoes an uncomplicated total colectomy and ileorectal anastomosis. ","How would you follow her postoperatively, and what additional surveillance or treatments would you recommend for her?","5","1","3","0.60000000000000000000"
"0229d3ac-4d06-4b6c-8ddc-d76220671eaf","13b - GI - FAP with Desmoid","The patient is interested in having children and wants to maximize her fertility chances. ","What surgical option would you recommend, and what other preoperative workup needs to be done?","4","1","2","0.50000000000000000000"
"0229d3ac-4d06-4b6c-8ddc-d76220671eaf","13b - GI - FAP with Desmoid","You are evaluating a 24-year old woman with rectal bleeding. She’s noticed daily bleeding with bowel movements for the last 2 months with occasional pelvic fullness and urge to defecate. She has no medical or surgical history. She’s adopted and doesn’t know her family medical history. She is a graduate student and abstinent from alcohol and tobacco.

On external exam, she has no hemorrhoids or fissures. On rectal exam she has a hypertonic sphincter and no obvious masses. There is some scant blood on your glove. There are no palpable pelvic masses. ","How would you proceed?","1","1","1","1.00000000000000000000"
"0229d3ac-4d06-4b6c-8ddc-d76220671eaf","13b - GI - FAP with Desmoid","You obtain genetic testing, and she is found to have an APC gene mutation. She’s interested in surgical therapy but wants to know her options.","What are the different surgical options you would discuss with the patient?","3","2","4","0.66666666666666666667"
"0229d3ac-4d06-4b6c-8ddc-d76220671eaf","13b - GI - FAP with Desmoid","You take her to the operating room and encounter a 15 cm mesenteric desmoid tumor involving the root of the small bowel mesentery. There is dilated proximal jejunum and decompressed distal ileum for >100 cm. ","What options do you have?","3","1","2","0.66666666666666666667"
"0372f500-6420-4bed-be55-741e7c522448","02 - Soft Tissue Mass 01","75 yo Caucasian F is seen in your clinic for an evaluation of a 1 cm skin mass on her right thigh that appeared a month ago and seems to be growing.  Patient denies any PMH or PSH.  She drinks wine nightly and stopped smoking 20 years ago. There is no family history of cancer.  
Patient reports that she worked as a lifeguard.  She continues to sunbathe and goes swimming at the beach daily to stay active.  She enjoys working in her rose garden. 
On exam, her vital signs are normal. There is a 2 cm firm, smooth light purple nodule on the anterior right thigh skin, not fixed to deeper structures. There are no enlarged inguinal lymph nodes. The remainder of her exam is totally normal
","What is your differential diagnosis and what would you like to do?","5","107","277","0.51775700934579439252"
"0372f500-6420-4bed-be55-741e7c522448","02 - Soft Tissue Mass 01","Let’s change the scenario. The tumor is unresectable because of size and local invasion and the patient is too sick to tolerate the surgery. ","What other options are there for treating her?","1","72","72","1.00000000000000000000"
"0372f500-6420-4bed-be55-741e7c522448","02 - Soft Tissue Mass 01","PET/CT shows no FDG-avid nodes and there is no evidence of distant metastases. ","What will you recommend for the surgical portion of her care?","1","91","91","1.00000000000000000000"
"0372f500-6420-4bed-be55-741e7c522448","02 - Soft Tissue Mass 01","Please describe the procedure.","","4","101","327","0.80940594059405940594"
"0372f500-6420-4bed-be55-741e7c522448","02 - Soft Tissue Mass 01","Surgery went well, final pathology shows 1.8 cm Merkel cell carcinoma with clear margins. You retrieved 3 sentinel nodes. 1 node had micrometastatic disease.","What do you tell the patient?","3","87","159","0.60919540229885057471"
